統計区・町丁名,世帯数,人口,男,女,年,月
額乙丸町,591.0,1461.0,691.0,770.0,2015,6
大額町,108.0,256.0,126.0,130.0,2015,6
額谷町,70,193,89,104,2015,7
四十万町,817,2166,1047,1119,2015,7
三十苅町,669,1602,766,836,2015,7
額乙丸町,552,1421,672,749,2015,7
大額町,108,258,127,131,2015,7
額谷町,70.0,193.0,89.0,104.0,2015,8
四十万町,820.0,2171.0,1050.0,1121.0,2015,8
三十苅町,670.0,1598.0,762.0,836.0,2015,8
額乙丸町,614.0,1486.0,686.0,800.0,2015,8
大額町,108.0,258.0,127.0,131.0,2015,8
額谷町,70,194,89,105,2015,9
四十万町,818,2171,1052,1119,2015,9
三十苅町,669,1598,760,838,2015,9
額乙丸町,575,1445,690,755,2015,9
大額町,108,258,127,131,2015,9
額谷町,70,193,89,104,2015,10
四十万町,818,2170,1052,1118,2015,10
三十苅町,665,1597,759,838,2015,10
額乙丸町,553,1410,667,743,2015,10
大額町,107,254,124,130,2015,10
額谷町,70.0,193.0,89.0,104.0,2015,11
四十万町,821.0,2183.0,1059.0,1124.0,2015,11
三十苅町,669.0,1601.0,762.0,839.0,2015,11
額乙丸町,561.0,1425.0,677.0,748.0,2015,11
大額町,107.0,253.0,124.0,129.0,2015,11
額谷町,71.0,194.0,89.0,105.0,2015,12
四十万町,821.0,2183.0,1059.0,1124.0,2015,12
三十苅町,669.0,1597.0,762.0,835.0,2015,12
額乙丸町,595.0,1452.0,695.0,757.0,2015,12
大額町,107.0,253.0,124.0,129.0,2015,12
額谷町,71.0,194.0,89.0,105.0,2016,1
四十万町,816.0,2176.0,1055.0,1121.0,2016,1
三十苅町,672.0,1600.0,763.0,837.0,2016,1
額乙丸町,558.0,1406.0,668.0,738.0,2016,1
大額町,107.0,253.0,124.0,129.0,2016,1
額谷町,70.0,193.0,89.0,104.0,2016,2
四十万町,816.0,2181.0,1061.0,1120.0,2016,2
三十苅町,673.0,1602.0,763.0,839.0,2016,2
額乙丸町,625.0,1470.0,682.0,788.0,2016,2
大額町,106.0,252.0,124.0,128.0,2016,2
額谷町,71.0,195.0,90.0,105.0,2016,3
四十万町,815.0,2179.0,1060.0,1119.0,2016,3
三十苅町,672.0,1603.0,764.0,839.0,2016,3
額乙丸町,602.0,1448.0,668.0,780.0,2016,3
大額町,106.0,250.0,122.0,128.0,2016,3
額谷町,72.0,200.0,92.0,108.0,2016,4
四十万町,816.0,2176.0,1057.0,1119.0,2016,4
三十苅町,673.0,1603.0,768.0,835.0,2016,4
額乙丸町,589.0,1442.0,685.0,757.0,2016,4
大額町,106.0,247.0,120.0,127.0,2016,4
額谷町,72.0,200.0,92.0,108.0,2016,5
四十万町,810.0,2163.0,1051.0,1112.0,2016,5
三十苅町,675.0,1600.0,766.0,834.0,2016,5
額乙丸町,563.0,1424.0,680.0,744.0,2016,5
大額町,106.0,245.0,118.0,127.0,2016,5
額谷町,72.0,200.0,92.0,108.0,2016,6
四十万町,811.0,2169.0,1055.0,1114.0,2016,6
三十苅町,674.0,1599.0,767.0,832.0,2016,6
額乙丸町,595.0,1457.0,698.0,759.0,2016,6
大額町,106.0,245.0,118.0,127.0,2016,6
額谷町,72.0,200.0,92.0,108.0,2016,7
四十万町,811.0,2165.0,1053.0,1112.0,2016,7
三十苅町,672.0,1596.0,765.0,831.0,2016,7
額乙丸町,579.0,1450.0,692.0,758.0,2016,7
大額町,107.0,245.0,118.0,127.0,2016,7
額谷町,72.0,199.0,92.0,107.0,2016,8
四十万町,813.0,2173.0,1056.0,1117.0,2016,8
三十苅町,673.0,1601.0,764.0,837.0,2016,8
額乙丸町,631.0,1499.0,693.0,806.0,2016,8
大額町,106.0,243.0,117.0,126.0,2016,8
額谷町,72.0,199.0,92.0,107.0,2016,9
四十万町,813.0,2172.0,1056.0,1116.0,2016,9
三十苅町,674.0,1602.0,763.0,839.0,2016,9
額乙丸町,591.0,1452.0,702.0,750.0,2016,9
大額町,107.0,246.0,119.0,127.0,2016,9
額谷町,72.0,200.0,92.0,108.0,2016,10
四十万町,816.0,2178.0,1058.0,1120.0,2016,10
三十苅町,672.0,1592.0,760.0,832.0,2016,10
額乙丸町,568.0,1428.0,689.0,739.0,2016,10
大額町,106.0,241.0,117.0,124.0,2016,10
額谷町,72.0,200.0,92.0,108.0,2016,11
四十万町,814.0,2173.0,1056.0,1117.0,2016,11
三十苅町,671.0,1589.0,759.0,830.0,2016,11
額乙丸町,567.0,1433.0,689.0,744.0,2016,11
大額町,107.0,244.0,117.0,127.0,2016,11
額谷町,72.0,200.0,92.0,108.0,2016,12
四十万町,816.0,2169.0,1057.0,1112.0,2016,12
三十苅町,672.0,1592.0,760.0,832.0,2016,12
額乙丸町,609.0,1472.0,708.0,764.0,2016,12
大額町,106.0,243.0,117.0,126.0,2016,12
額谷町,72.0,200.0,92.0,108.0,2017,1
四十万町,814.0,2165.0,1055.0,1110.0,2017,1
三十苅町,673.0,1589.0,760.0,829.0,2017,1
額乙丸町,564.0,1426.0,684.0,742.0,2017,1
大額町,105.0,241.0,115.0,126.0,2017,1
額谷町,72.0,199.0,91.0,108.0,2017,2
四十万町,817.0,2179.0,1064.0,1115.0,2017,2
三十苅町,671.0,1583.0,757.0,826.0,2017,2
額乙丸町,628.0,1494.0,701.0,793.0,2017,2
大額町,105.0,241.0,115.0,126.0,2017,2
額谷町,72.0,199.0,91.0,108.0,2017,3
